,0,1,2,3,4,5,6,7,8,9,10
0, Afghanistan,421565.03,418910.96,2489.88,164.19,0.0,0.0,0.0,0.0,0.0,0.0
1, Albania,927.78,927.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2, Algeria,54897.74,54511.39,186.39,199.97,0.0,0.0,0.0,0.0,0.0,0.0
3, American Samoa,0.91,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0
4, Andorra,0.54,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0
5, Angola,597800.65,320905.59,260229.05,15934.52,0.0,0.0,0.0,669.33,1.45,60.7
6, Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7, Antigua and Barbuda,177.3,79.56,0.0,97.73,0.0,0.0,0.0,0.0,0.0,0.0
8, Argentina,25222.02,24267.12,0.0,954.89,0.0,0.0,0.0,0.0,0.0,0.0
9, Armenia,5405.99,5379.43,0.0,26.57,0.0,0.0,0.0,0.0,0.0,0.0
10, Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11, Australia,2176.35,2129.07,0.0,47.28,0.0,0.0,0.0,0.0,0.0,0.0
12, Austria,1426.71,1426.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13, Azerbaijan,30693.68,30589.57,0.0,104.11,0.0,0.0,0.0,0.0,0.0,0.0
14, Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15, Bahrain,508.1,501.21,0.0,6.89,0.0,0.0,0.0,0.0,0.0,0.0
16, Bangladesh,479493.8,476524.13,1862.61,126.16,697.36,231.86,46.55,0.0,0.0,5.13
17, Barbados,225.48,193.62,0.0,31.86,0.0,0.0,0.0,0.0,0.0,0.0
18, Belarus,20020.26,19393.62,0.0,626.64,0.0,0.0,0.0,0.0,0.0,0.0
19, Belgium,2411.46,2411.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20, Belize,976.61,4.37,18.49,953.74,0.0,0.0,0.0,0.0,0.0,0.0
21, Benin,249812.58,75391.76,172668.42,1185.57,0.0,0.0,0.0,558.79,0.02,8.02
22, Bermuda,2.99,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0
23, Bhutan,3633.01,3487.71,136.42,8.88,0.0,0.0,0.0,0.0,0.0,0.0
24, Bolivia,24745.05,24076.26,52.48,616.3,0.0,0.0,0.0,0.0,0.0,0.0
25," Bonaire, Saint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26, Bosnia and Herzegovina,4143.79,4143.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27, Botswana,46962.26,38374.78,2795.1,5666.05,0.0,0.0,0.0,126.34,0.0,0.0
28, Brazil,324348.22,233294.12,2424.85,85670.28,0.0,0.0,0.0,2958.97,0.0,0.0
29, British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30, Brunei Darussalam,310.64,310.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31, Bulgaria,4787.16,4787.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32, Burkina Faso,741736.74,172828.94,551130.19,16191.14,0.0,0.0,0.0,1490.99,0.0,95.48
33, Burundi,549536.28,315419.28,226221.54,7461.43,0.0,0.0,0.0,420.56,13.48,0.0
34, Cambodia,135748.43,119689.58,1603.87,8897.82,0.0,0.0,0.0,5557.15,0.0,0.0
35, Cameroon,591924.29,165350.11,374021.6,50613.73,0.0,712.73,278.37,630.77,183.76,133.23
36, Canada,3598.74,3427.51,0.0,171.23,0.0,0.0,0.0,0.0,0.0,0.0
37, Cape Verde,1707.28,1608.14,0.0,99.14,0.0,0.0,0.0,0.0,0.0,0.0
38, Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39, Central African Republic,205924.43,122427.96,77286.54,6063.64,0.0,0.0,0.0,17.58,61.65,67.06
40, Chad,426316.46,202645.77,212756.62,9363.96,0.0,0.0,0.0,1522.31,0.69,27.12
41, Chile,14419.69,13804.39,0.0,615.3,0.0,0.0,0.0,0.0,0.0,0.0
42, China,1673706.94,1640086.5,226.26,33394.18,0.0,0.0,0.0,0.0,0.0,0.0
43," China, Hong Kong SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44," China, Macao SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45, Colombia,89990.61,46903.28,6207.31,36849.37,24.14,3.82,2.68,0.0,0.0,0.0
46, Comoros,13960.35,9422.73,4289.11,37.43,135.79,50.88,20.18,0.0,0.0,4.22
47, Republic of the Congo,90974.74,48546.47,40966.38,920.97,0.0,0.0,0.0,538.85,0.2,1.87
48, Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49, Costa Rica,2201.51,2100.3,0.0,101.22,0.0,0.0,0.0,0.0,0.0,0.0
50,  Cote d'Ivoire,563971.25,235236.24,322685.91,0.0,0.0,0.0,0.0,6024.11,0.0,24.99
51, Croatia,2025.46,2025.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52, Cuba,2342.86,1707.28,0.0,635.58,0.0,0.0,0.0,0.0,0.0,0.0
53,   Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54, Cyprus,88.06,88.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55, Czech Republic,1740.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56, Democratic People's Republic of Korea,105210.68,105192.05,18.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57, Democratic Republic of the Congo,2376127.17,1433372.96,860140.63,68931.28,0.0,0.0,0.0,11955.72,1714.58,12.0
58, Denmark,895.38,895.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59, Djibouti,16188.41,14617.86,582.67,987.88,0.0,0.0,0.0,0.0,0.0,0.0
60, Dominica,122.94,64.54,0.0,58.41,0.0,0.0,0.0,0.0,0.0,0.0
61, Dominican Republic,17425.42,15382.4,75.61,1967.41,0.0,0.0,0.0,0.0,0.0,0.01
62, Ecuador,36084.13,35238.65,376.55,468.93,0.0,0.0,0.0,0.0,0.0,0.0
63, Egypt,38734.14,33227.58,9.62,282.58,0.0,0.0,0.0,5214.33,0.0,0.03
64, El Salvador,4297.82,3293.6,0.0,1004.22,0.0,0.0,0.0,0.0,0.0,0.0
65, Equatorial Guinea,18473.34,12.63,14440.59,4003.71,0.0,0.0,0.0,12.82,0.22,3.37
66, Eritrea,138998.07,106637.75,31836.21,486.98,0.0,0.0,0.0,37.11,0.0,0.01
67, Estonia,1291.57,1291.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68, Ethiopia,2333040.47,1788282.13,419592.69,122888.83,0.0,0.0,0.0,2273.01,3.81,0.0
