"","2010","","","","","","","","","","","2015","","","","","","","","",""
"Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total","Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total"
"Rwanda","350,772.69","702,035.14","299,877.30","  26,080.13 ","  7,563.59 ","  930.33 ","  11,735.00 ","","  -   ","1,398,994.18","Rwanda","224,005.90","119,785.32","291,659.87","17,243.64","9,575.47","924.72","9,597.34","0.00","0.00","672,792.26"
"Saint Kitts and Nevis","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Saint Kitts and Nevis","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Lucia","561.64","0.15","1,048.23","  5.47 ","  19.59 ","  1.59 ","  28.68 ","","  -   ","1,665.35","Saint Lucia","356.98","0.00","560.41","5.06","16.50","1.45","29.56","0.00","0.00","969.97"
"Saint Vincent and the Grenadines","173.80","0.09","1,480.48","  1.34 ","  13.08 ","  0.02 ","  -   ","","  -   ","1,668.80","Saint Vincent and the Grenadines","188.23","0.00","966.95","1.21","12.72","0.02","0.00","0.00","0.00","1,169.13"
"Samoa","677.68","6.23","0.00","  1.91 ","  3.88 ","  0.00 ","  -   ","","  163.31 ","853.02","Samoa","297.68","0.00","410.03","1.29","3.25","0.00","0.00","0.00","69.81","782.06"
"San Marino","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","San Marino","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","1,114.15","8,177.66","2,553.41","  112.71 ","  41.32 ","  35.81 ","  201.24 ","","  422.07 ","12,658.37","Sao Tome and Principe","1,371.64","636.36","25.30","107.00","44.13","38.26","187.46","0.00","493.44","2,903.59"
"Saudi Arabia","76,215.64","1,064.12","9,142.05","  75.01 ","  526.89 ","  0.06 ","  479.31 ","","  -   ","87,503.07","Saudi Arabia","40,629.75","606.25","24,373.23","55.72","505.05","0.06","455.55","0.00","0.00","66,625.60"
"Senegal","296,995.97","705,910.98","122,962.61","  1,367.14 ","  492.16 ","  60.22 ","  45,091.23 ","","  8,577.34 ","1,181,457.65","Senegal","466,821.23","240,608.34","143,575.32","1,038.81","551.82","67.60","28,026.27","0.00","11,763.85","892,453.23"
"Serbia","12,942.27","11.35","17,853.31","  0.82 ","  -   ","  -   ","  -   ","","  -   ","30,807.75","Serbia","7,872.89","0.00","2,238.16","0.57","0.00","0.00","0.00","0.00","0.00","10,111.61"
"Seychelles","219.49","0.88","480.19","  5.45 ","  19.03 ","  21.96 ","  -   ","","  -   ","746.99","Seychelles","86.95","0.00","290.03","5.30","16.48","26.74","0.00","0.00","0.00","425.50"
"Sierra Leone","216,314.86","1,594,184.56","136,348.74","  11,443.97 ","  3,563.40 ","  392.37 ","  5,703.43 ","","  7,020.29 ","1,974,971.62","Sierra Leone","130,019.80","870,382.97","153,717.24","5,598.90","1,552.07","201.05","2,516.97","18,440.33","5,696.95","1,188,126.28"
"Singapore","6,933.02","0.67","3,107.24","  -   ","  -   ","  -   ","  -   ","","  -   ","10,040.92","Singapore","2,519.58","0.65","659.20","0.00","0.00","0.00","0.00","0.00","0.00","3,179.43"
"Sint Maarten (Dutch part)","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Sint Maarten (Dutch part)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Slovakia","4,607.51","4.37","396.16","  0.28 ","  -   ","  -   ","  -   ","","  -   ","5,008.31","Slovakia","1,778.61","0.00","266.52","0.24","0.00","0.00","0.00","0.00","0.00","2,045.37"
"Slovenia","1,638.11","1.62","547.18","  -   ","  -   ","  -   ","  -   ","","  -   ","2,186.90","Slovenia","633.64","0.00","83.00","0.00","0.00","0.00","0.00","0.00","0.00","716.64"
"Solomon Islands","13,833.03","6,619.64","0.00","  39.54 ","  348.30 ","  47.73 ","  -   ","","  -   ","20,888.23","Solomon Islands","3,820.20","2,433.96","1,354.53","30.58","320.06","48.22","0.00","0.00","0.00","8,007.55"
