,0,1,2,3,4,5,6,7,8,9,10
0, India,100.0,92.88140141460833,5.289550487622359,1.8279991918462195,0.0,0.0,0.0,0.0,0.0,0.0010489059231058703
1, Nigeria,57.05244255084207,7.469023499863539,47.847259519262245,1.6447106572352064,0.0,0.0,0.0,0.09144882415454299,0.0,0.0
2, South Africa,16.595412368226885,3.7937579997036925,0.02910409461000578,12.748585425779321,0.0,0.013337793506915522,0.010627054626949515,0.0,0.0,0.0
3, Indonesia,14.571744512153476,14.477386662518013,0.09012282025558928,0.00423497905332305,0.0,0.0,0.0,0.0,0.0,0.0
4, Democratic Republic of the Congo,11.958227917981908,7.213671373974637,4.328790910234214,0.34690734036689963,0.0,0.0,0.0,0.060169012201301775,0.008628889346698317,6.039185815790444e-05
5, Ethiopia,11.741387428407561,8.999806728439601,2.1116651848811308,0.618457065879236,0.0,0.0,0.0,0.011439274792624868,1.9174414965134662e-05,0.0
6, Mozambique,8.714779402268716,2.2855874455573377,3.9495985354350354,2.4107581774293823,0.04921659643852656,0.013031153847118762,0.005314332538250197,0.0012732113496140207,0.0,0.0
7, China,8.423189343198358,8.253989272891163,0.0011386884855672883,0.16806138182162744,0.0,0.0,0.0,0.0,0.0,0.0
8, Tanzania,7.796091913519374,4.121518403400919,3.481233203655994,0.14797827069741018,0.0,0.0,0.0,0.045361985438501375,0.0,0.0
9, Uganda,7.6598724408707906,3.062825728047818,3.557595588050659,1.0083845967314673,0.0,0.0,0.0,0.03106652804084688,0.0,0.0
10, Pakistan,7.549354484890502,7.5131086504409375,0.035781572039976804,0.0004643127361373554,0.0,0.0,0.0,0.0,0.0,0.0
11, Kenya,4.80875651143442,3.309455055250586,0.9456300077762319,0.5413465270150912,0.0,0.0,0.0,0.012324971719058999,0.0,0.0
12, Mali,4.594026566323045,0.6205813998164889,3.8714104548417074,0.09864607417705971,0.0,0.0,0.0,0.003388687814336948,0.0,0.0
13, Philippines,4.548317277373587,4.494323936587512,0.00022712371322218566,0.02651605185519725,0.0,0.0,0.0,0.027250165217655043,0.0,0.0
14, Zambia,4.239898221802753,1.8361521430240852,1.5249289928258827,0.8788017363555034,0.0,0.0,0.0,0.0,0.0,1.5349597281800714e-05
