,0,1,2,3,4,5,6,7,8,9,10
0, India,100.0,95.17533780200334,4.474827595247503,0.3484888651200733,0.0,0.0,0.0,0.0,0.0,0.00134573762907033
1, Nigeria,77.22592171009515,4.054052472502197,72.7415877564274,0.28432462960982546,0.0,0.0,0.0,0.13562453362554547,0.0,0.010332317930173219
2, Uganda,30.527711966183652,2.2026002041242743,26.8405086145735,1.429729717653546,0.0,0.0,0.0,0.054714145092620674,0.0,0.0001592847397199039
3, Indonesia,19.142479069755368,18.99741918101763,0.13151397021349417,0.012278682256869317,0.0,0.0,0.0,0.0,0.0,0.0012672362673745608
4, Democratic Republic of the Congo,17.04184893965104,7.98706086570544,7.745562575728182,0.4435772907001992,0.7829536082178439,0.029111421499091118,0.0024846593783242315,0.034278623671642125,0.016728483696248766,9.141105406766485e-05
5, Pakistan,12.083311340944306,11.653489849070093,0.42918167969620513,0.0006398121780071292,0.0,0.0,0.0,0.0,0.0,0.0
6, Ethiopia,11.112885983721856,10.683253638401032,0.251525730525962,0.060992884818485193,0.0,0.0,0.0,0.11709227902289018,2.132055255358517e-05,1.304009330494506e-07
7, China,11.099955362000204,10.791402369430724,0.010852748053973574,0.29770024451550675,0.0,0.0,0.0,0.0,0.0,0.0
8, Mozambique,9.158504477260944,2.5085659117811203,2.60351337395262,4.020574054156214,0.003617321882791759,0.0075336531050659095,0.011126981216176569,0.0025248228657034624,0.0,0.0010483583012510578
9, South Africa,7.209485383169357,6.439962614652339,0.01634301853815459,0.7196285679122357,0.0035931325097110865,0.017318547918297532,0.012639501638617146,0.0,0.0,0.0
10, Mali,5.0048677462098725,0.7327447501616151,4.242506010131733,0.01488630971505918,0.0,0.0,0.0,0.012775379410854675,0.0,0.001955296790609987
11, Kenya,4.997956887961052,1.8891039729847552,1.1516677232543535,1.9450371059995222,0.0,0.0,0.0,0.012147759720087668,0.0,3.260023326236265e-07
12,  Cote d'Ivoire,4.900470910825878,1.1600659997460037,3.2236928438830894,0.5041892743932469,0.0,0.0,0.0,0.011832124261641474,0.0,0.0006906685418964151
13, Burkina Faso,4.8019130380210395,1.4395852897724903,3.341023626212527,0.01395329103909036,0.0,0.0,0.0,0.007044454004730895,0.0,0.00030637699219968414
14, Niger,4.742950821732466,1.6202711046221376,3.042752030008864,0.07668637630912047,0.0,0.0,0.0,0.003128970388521567,0.0,0.00011234040382210169
15, Philippines,4.710912877293412,4.599540504797803,0.07199344233007032,0.025848724953727344,0.0,0.0,0.0,0.013327692562785622,0.0,0.00020251264902579674
16, Myanmar,4.6432190145278485,4.018717927275187,0.4797455542926609,0.1441713367799391,0.0,0.0,0.0,0.0,0.0,0.0005841961800615386
17, Tanzania,4.577014460818642,2.6963103291367343,1.7008283674283646,0.11406365215235016,0.0,0.0,0.0,0.06504450700879814,0.0,0.0007676050923955909
18, Bangladesh,4.501999433268418,3.8177964956349264,0.17428488944951523,0.002336915121179204,0.4206374845604725,0.06504052978034014,0.021871040092453428,0.0,0.0,3.207862953016485e-05
19, Cameroon,3.982949668544854,0.7646727666141079,2.23938806775012,0.9536747705680507,0.0,0.0,0.0,0.023426397221400747,0.000997110734562624,0.0007905556566122941
20, Malawi,3.664105629940511,1.08645708545685,1.2554819272694835,1.3221666172141775,0.0,0.0,0.0,0.0,0.0,0.0
21, Angola,3.536833210876317,1.8565438380093053,1.6524983912159785,0.025977495875113676,0.0,0.0,0.0,0.0012532833675382696,8.150058315590661e-06,0.0005520523500648491
22, Zimbabwe,2.89532647274421,1.6498569899161293,0.007046410018726637,1.2349917026570905,0.0,0.0,0.0,0.003431370152263243,0.0,0.0
23, Chad,2.8738796920874323,0.9220074907811902,1.9043491460675663,0.025146711530655626,0.0,0.0,0.0,0.022098068116892522,2.9209809003076936e-05,0.0002490657821244507
24, Guinea,2.811496472520774,0.8169417638111184,1.954458312610479,0.011504557117821253,0.0,0.0,0.0,0.028507339176739543,0.0,8.449980461604399e-05
25, Viet Nam,2.6026518801884286,2.5522292298024656,0.05042265038596325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26, Ghana,2.392218482887808,0.8940609408170298,1.4618074343771794,0.029718633443835886,0.0,0.0,0.0,0.006599330419766595,0.0,3.214382999668957e-05
27, Russia,2.341806851380688,2.341806851380688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28, Nepal,2.3276218378835685,2.2674284411856096,0.041175659421560616,0.004181240717764109,0.0025144559915260306,0.01028863361760165,0.0009566212448507696,0.0,0.0,0.0010767857046558383
29, Zambia,2.2670804662957678,0.9569432699549352,0.8462614356002894,0.45948926895415887,0.0,0.0,0.0,0.004302187583167474,0.0,8.43042032164698e-05
30, Somalia,2.1853687640292536,1.9334863217509348,0.22180351105646723,0.0059033154396151526,0.0,0.0,0.0,0.024175615782236367,0.0,0.0
31, Brazil,1.8973101689020235,1.2201821990915975,0.00024991338818927206,0.6521252861103236,0.0,0.0,0.0,0.024752770311913235,0.0,0.0
32, Senegal,1.8328951723975215,1.4776604714094008,0.2774664533379557,0.059505596976589685,0.0,0.0,0.0,0.018093390262477367,0.0,0.00016926041109818687
33, Madagascar,1.8144708245669647,1.0776561308839434,0.4856302875993165,0.006162422093584412,0.2314145162254774,0.0016165803670140388,0.0070610801236947,0.0043528483456571855,0.0,0.0005769589282772941
34, Burundi,1.8096547921071162,1.2329197622318677,0.5191377853533707,0.055735966803996166,0.0,0.0,0.0,0.0017904048107689567,7.087290711237639e-05,0.0
