,0,1,2,3,4,5,6,7,8,9
66,Eritrea,121630.36,117762.07,2962.53,863.69,0.0,0.0,0.0,42.06,0.01
67,Estonia,1897.6799999999998,1896.07,0.0,1.61,0.0,0.0,0.0,0.0,0.0
68,Ethiopia,2565765.07,2152985.59,298621.79,111618.62,0.0,0.0,0.0,2539.07,0.0
69,Fiji,2284.0499999999997,2092.45,0.0,116.53,32.57,33.74,0.22,0.0,8.54
70,Finland,1326.83,1326.82,0.0,0.01,0.0,0.0,0.0,0.0,0.0
71,France,26691.370000000003,26668.22,0.0,23.15,0.0,0.0,0.0,0.0,0.0
72,French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Gabon,45972.73,12817.37,31017.43,1281.89,620.21,40.26,76.13,118.9,0.54
74,Gambia,51828.33,16549.64,32537.41,2353.53,0.0,0.0,0.0,385.81,1.94
75,Georgia,16722.22,16070.6,0.0,651.62,0.0,0.0,0.0,0.0,0.0
76,Germany,18464.78,18393.02,0.0,71.76,0.0,0.0,0.0,0.0,0.0
77,Ghana,1163639.2,155308.85,935750.57,70504.95,0.0,0.0,0.0,1948.0,126.83
78,Greece,3176.2,3175.93,0.0,0.27,0.0,0.0,0.0,0.0,0.0
79,Greenland,65.59,65.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Grenada,246.15000000000003,91.54,0.0,154.61,0.0,0.0,0.0,0.0,0.0
81,Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Guatemala,52744.89,47887.95,73.46,4783.48,0.0,0.0,0.0,0.0,0.0
83,Guinea,788729.4099999999,162784.97,606071.68,17885.21,0.0,0.0,0.0,1976.98,10.57
84,Guinea-Bissau,296563.23000000004,25989.34,265215.2,5129.35,0.0,0.0,0.0,220.94,8.4
85,Guyana,5316.68,3364.73,25.3,1924.9,0.0,0.0,0.0,0.0,1.75
86,Haiti,215517.71,208799.08,539.33,6032.79,0.0,0.0,0.0,0.0,146.51
87,Honduras,21245.36,18078.71,27.82,3138.83,0.0,0.0,0.0,0.0,0.0
88,Hungary,6554.41,6486.07,0.0,68.34,0.0,0.0,0.0,0.0,0.0
89,Iceland,61.150000000000006,61.06,0.0,0.09,0.0,0.0,0.0,0.0,0.0
90,India,17084838.049999997,16795994.68,218837.06,68506.82,0.0,0.0,0.0,0.0,1499.49
91,Indonesia,6179717.55,6114537.01,27853.6,37326.94,0.0,0.0,0.0,0.0,0.0
92,Iran,61943.66,60836.02,55.91,1051.73,0.0,0.0,0.0,0.0,0.0
93,Iraq,67813.38,67813.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Ireland,1372.25,1370.19,0.0,2.06,0.0,0.0,0.0,0.0,0.0
95,Israel,1557.66,1557.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Italy,14742.08,14718.51,0.0,23.57,0.0,0.0,0.0,0.0,0.0
97,Jamaica,5109.58,833.71,0.0,4275.87,0.0,0.0,0.0,0.0,0.0
98,Japan,131693.77,131630.62,0.0,63.15,0.0,0.0,0.0,0.0,0.0
99,Jordan,3229.21,3229.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Kazakhstan,121287.13,118837.74,0.0,2449.39,0.0,0.0,0.0,0.0,0.0
101,Kenya,1719843.2,508967.27,844064.17,364426.92,0.0,0.0,0.0,2384.82,0.02
102,Kiribati,1331.6000000000001,1329.95,0.0,1.65,0.0,0.0,0.0,0.0,0.0
103,Kuwait,3830.96,3830.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Kyrgyzstan,21874.72,21483.48,0.0,391.24,0.0,0.0,0.0,0.0,0.0
105,Lao People's Democratic Republic,94871.94,90941.04,3075.37,710.49,0.0,0.0,0.0,144.94,0.1
106,Latvia,7064.51,5612.72,0.0,1451.79,0.0,0.0,0.0,0.0,0.0
107,Lebanon,4897.85,4569.88,0.0,327.97,0.0,0.0,0.0,0.0,0.0
108,Lesotho,156377.22,76973.82,0.0,78897.31,208.83,73.09,224.17,0.0,0.0
109,Liberia,895506.3399999999,102757.02,783075.83,8720.45,1.82,7.09,0.55,885.46,58.12
110,Libya,81.11,5.7,0.0,75.41,0.0,0.0,0.0,0.0,0.0
111,Lithuania,11211.62,11211.6,0.0,0.02,0.0,0.0,0.0,0.0,0.0
112,Luxembourg,94.61,92.47,0.0,2.14,0.0,0.0,0.0,0.0,0.0
113,Madagascar,415643.35,239953.08,165276.94,96.6,7583.93,129.29,1224.58,1287.49,91.44
114,Malawi,1341822.93,282692.54,854302.72,203975.21,0.0,0.0,0.0,566.41,286.05
115,Malaysia,75045.60999999999,65914.34,954.7,5326.69,2061.64,763.68,24.56,0.0,0.0
116,Maldives,504.58,498.59,0.0,5.99,0.0,0.0,0.0,0.0,0.0
117,Mali,1543794.5499999998,186224.94,1352156.25,2912.91,0.0,0.0,0.0,2500.45,0.0
118,Malta,92.69,91.1,0.0,1.59,0.0,0.0,0.0,0.0,0.0
119,Marshall Islands,780.86,780.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Mauritania,87236.78,36751.16,49043.06,1152.39,0.0,0.0,0.0,290.17,0.0
121,Mauritius,956.23,585.42,0.0,370.81,0.0,0.0,0.0,0.0,0.0
122,Mexico,172028.87,158826.21,3.27,13199.39,0.0,0.0,0.0,0.0,0.0
123,Micronesia (Federated States of),1035.8799999999999,1035.86,0.0,0.0,0.0,0.0,0.0,0.0,0.02
124,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Mongolia,31801.17,31765.51,0.0,35.66,0.0,0.0,0.0,0.0,0.0
126,Montenegro,327.88,326.98,0.0,0.9,0.0,0.0,0.0,0.0,0.0
127,Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Morocco,260332.36000000002,258804.51,0.0,1527.85,0.0,0.0,0.0,0.0,0.0
129,Mozambique,2731621.6799999992,538243.47,1898361.0,285239.32,8580.66,215.59,514.55,299.53,167.56
130,Myanmar,1233603.7500000002,1145769.12,60685.29,26916.49,0.0,0.0,0.0,0.0,232.85
131,Namibia,83421.29000000001,42195.8,6231.42,34967.5,0.0,0.0,0.0,26.57,0.0
132,Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Nepal,448439.01999999996,439504.85,1583.41,5280.57,307.55,1490.93,35.34,0.0,236.37
134,Netherlands,3988.74,3971.45,0.0,17.29,0.0,0.0,0.0,0.0,0.0
135,New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,New Zealand,900.89,892.62,0.0,8.27,0.0,0.0,0.0,0.0,0.0
137,Nicaragua,19132.14,18461.72,29.66,640.76,0.0,0.0,0.0,0.0,0.0
138,Niger,1101701.29,298159.22,793015.29,10409.31,0.0,0.0,0.0,117.47,0.0
139,Nigeria,23999875.51,2314888.36,21243505.07,418153.71,0.0,0.0,0.0,23328.37,0.0
140,Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Norway,991.4699999999999,990.17,0.0,1.3,0.0,0.0,0.0,0.0,0.0
143,Oman,2876.41,2791.62,0.0,84.79,0.0,0.0,0.0,0.0,0.0
144,Pakistan,2842826.8400000003,2797629.18,44830.96,366.7,0.0,0.0,0.0,0.0,0.0
145,Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Panama,8619.7,8344.51,21.5,253.69,0.0,0.0,0.0,0.0,0.0
147,Papua New Guinea,149115.32,135455.04,5656.95,7942.34,8.12,52.87,0.0,0.0,0.0
148,Paraguay,15453.919999999998,13770.47,0.05,1683.4,0.0,0.0,0.0,0.0,0.0
149,Peru,117318.23000000001,117058.07,35.24,224.92,0.0,0.0,0.0,0.0,0.0
150,Philippines,1387136.09,1373932.88,1563.83,637.64,2117.09,483.29,134.8,8142.62,123.94
151,Poland,29158.25,29066.56,0.0,91.69,0.0,0.0,0.0,0.0,0.0
152,Portugal,11623.39,11615.48,0.0,7.91,0.0,0.0,0.0,0.0,0.0
153,Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Qatar,2142.54,2133.74,0.0,8.8,0.0,0.0,0.0,0.0,0.0
155,Republic of Korea,133551.43,132978.01,1.59,571.83,0.0,0.0,0.0,0.0,0.0
156,Republic of Moldova,20014.16,18899.29,0.0,1114.87,0.0,0.0,0.0,0.0,0.0
157,Romania,96916.4,96406.93,0.0,509.47,0.0,0.0,0.0,0.0,0.0
158,Russia,1022012.08,1009213.07,0.0,12799.01,0.0,0.0,0.0,0.0,0.0
159,Rwanda,279016.7,180247.69,74834.14,13155.71,6877.73,3382.9,295.35,223.18,0.0
160,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Saint Lucia,417.59,295.89,0.0,121.7,0.0,0.0,0.0,0.0,0.0
162,Saint Vincent and the Grenadines,303.47,86.81,0.0,216.66,0.0,0.0,0.0,0.0,0.0
163,Samoa,357.02,357.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Sao Tome and Principe,1252.0700000000002,575.58,600.45,14.31,43.44,4.53,8.07,5.69,0.0
166,Saudi Arabia,40195.96,39997.74,198.22,0.0,0.0,0.0,0.0,0.0,0.0
167,Senegal,215177.38,160185.97,52040.98,1049.05,0.0,0.0,0.0,1901.38,0.0
