,0,1,2,3,4,5,6,7,8,9
0,Nigeria,100.0,9.645418198254644,88.51506359334445,1.742316162539128,0.0,0.0,0.0,0.0972020458617787,0.0
1,India,71.18719446224326,69.9836741778166,0.9118258130498111,0.28544656396844786,0.0,0.0,0.0,0.0,0.006247907408416386
2,Democratic Republic of the Congo,26.60713805510902,8.23225549306193,18.041899209834693,0.2867851542451605,0.0005957114233381288,0.0003797936366879096,9.175047591736446e-05,0.04509777559258681,3.316683870582294e-05
3,Indonesia,25.74895668698408,25.477369694906386,0.11605726866539066,0.1555297234123028,0.0,0.0,0.0,0.0,0.0
4,Tanzania,22.523406080784294,2.1097394017274214,18.60642647141798,1.7613530529517314,0.0,0.0,0.0,0.04575386232909672,0.00013329235806523563
5,Uganda,18.702913930239795,3.267321031199798,14.16467130666379,1.2358305353559726,0.0,0.0,0.0,0.035091057020237015,0.0
6,Pakistan,11.845173275234211,11.65684871504569,0.18679663559638188,0.0015279245921388529,0.0,0.0,0.0,0.0,0.0
7,Mozambique,11.381816038428273,2.242692758034227,7.909878529199086,1.1885033315324893,0.035752935453455606,0.0008982963262045687,0.0021439694542815567,0.0012480481403963747,0.000698170288134132
8,Ethiopia,10.690743245442775,8.970819824056662,1.2442639124339356,0.4650799957420278,0.0,0.0,0.0,0.010579513210149981,0.0
9,Cameroon,9.941350941615777,0.7033756484681032,7.265022059274839,0.6652639507795512,1.294756132674623,0.003937645424894955,0.002548721553764426,0.006124031765863105,0.0003227516741398297
10,Sudan,9.206240211868497,1.2702028803148568,7.88634849048015,0.04671715899246345,0.0,0.0,0.0,0.0029700987394830035,1.5833415462578788e-06
11,China,8.3086300975567,8.073247543274444,0.0024172208716594294,0.23296533341059816,0.0,0.0,0.0,0.0,0.0
12,Burkina Faso,7.82749906022325,0.81131691670179,6.955900164167142,0.014019989389519961,0.0,0.0,0.0,0.04595544670806502,0.00030654325673208453
13,Kenya,7.1660505042344695,2.1207079586222406,3.5169522843912446,1.5184533763442007,0.0,0.0,0.0,0.009936801543017671,8.333376559251993e-08
14,Mali,6.432510657635489,0.7759412748720546,5.634013599098039,0.012137187956605362,0.0,0.0,0.0,0.010418595708790822,0.0
15,Cote d'Ivoire,6.409369162598627,1.106741907429169,4.452154843698188,0.8193285832589721,0.0,0.0,0.0,0.030932327115225106,0.0002115010970738156
16,Philippines,5.779763688449232,5.724750028088791,0.006515992132327521,0.0026568471146207204,0.008821254089913402,0.002013718778660448,0.0005616695800935844,0.033927759319448234,0.000516419345376846
