,0,1,2,3,4,5,6,7,8,9,10,11
0, India,100.0,99.4714051795313,0.03771212464250578,0.0,0.0,0.0,0.0,0.0,0.0,0.0003585245957240153,0.49052417123044767
1, Nigeria,31.57750967692492,16.545791179402872,14.874835652963947,0.0,0.0,0.0,0.0,0.13292740012526705,0.0,0.0,0.023955444432836513
2, Democratic Republic of the Congo,20.816065865068843,13.401506770336798,7.284995065821982,0.0,0.0,0.0,0.0029775166487446846,0.12457865181927,0.0,0.0002769808871134816,0.001730879554932073
3, Indonesia,16.181118399996333,16.174049307850836,0.0018277057369757712,0.0,0.0,0.0,0.0,0.0,0.0,0.005241386408520984,0.0
4, Pakistan,11.408917144655256,11.351192007522066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05772513713318978
5, China,10.349172653432941,10.349172653432941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6, Ethiopia,9.86954282206867,9.318235178428532,0.2478946589904379,0.0,0.0,0.0,0.0,0.1647274943426082,8.37189511794877e-05,2.2310180194400454e-07,0.13860154825410892
7, Philippines,6.775263614258573,6.7744263689713256,5.3600207917047086e-05,0.0,0.0,0.0,0.0,0.0007250250808675288,0.0,5.861999846078718e-05,0.0
8, Mozambique,6.665331484186024,5.0468792298794405,1.6079312753059596,0.0,0.0,0.0,0.0,0.00012203668566337048,0.0,0.0053442363392171705,0.005054705975744339
9, Thailand,5.386908072692343,5.386888551284672,1.9521407670100397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10, South Africa,4.8932289631051535,4.8932289631051535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11, Burkina Faso,4.760721440571146,1.9833761905666607,2.769756721088612,0.0,0.0,0.0,0.0,0.002022362059171915,0.0,0.0015452588557146615,0.0040209080009863075
12, Kenya,4.347763519026173,3.9722965724625303,0.36488494922018644,0.0,0.0,0.0,0.0,0.009940468111966581,0.0,1.7848144155520363e-06,0.000639744417074433
13, Niger,4.3424952488505175,1.5788147611133019,2.747690614265538,0.0,0.0,0.0,0.0,0.009303902895569848,0.0,0.0019902911751424643,0.00469567940096595
14, Cameroon,3.8864666878084995,2.003152547820932,1.8630403772658604,0.0,0.0,0.0,0.0,0.013600285846506518,0.0017553649776954278,0.0028864911135515307,0.0020316207839525913
15, Angola,3.617782900933865,2.8925386783213765,0.7236499929112469,0.0,0.0,0.0,0.0,0.0015744851917693261,3.346527029160068e-07,1.9409856769128395e-05,0.0
16,  Cote d'Ivoire,3.41679846345193,1.946958502579034,1.4238692768278294,0.0,0.0,0.0,0.0,0.0459164703071946,0.0,5.42137378723931e-05,0.0
17, Somalia,3.316462164982797,3.3129011255710674,0.0,0.0,0.0,0.0,0.0,0.003561039411729229,0.0,0.0,0.0
18, Mali,3.315725148180075,0.780855972151313,2.5171484230021517,0.0,0.0,0.0,0.0,0.004782410226471682,0.0,0.0063635326968488415,0.006574810103289814
19, Ghana,3.3090731448533126,1.9041891062900613,1.4043924337426674,0.0,0.0,0.0,0.0,0.0004867523563913319,0.0,4.852464192282099e-06,0.0
20, Bangladesh,2.8979564267043343,2.896064300322047,0.0018921263822871024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21, Ukraine,2.84869460065244,2.84869460065244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22, Myanmar,2.8327012691028313,2.8315528525773246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011484165255067633,0.0
23, Burundi,2.7286329794662287,1.9789209591327395,0.7480752897389774,0.0,0.0,0.0,0.0,0.0012613618127409157,0.00016531843524050736,0.0,0.00021005034653028026
24, Viet Nam,2.6437620421324035,2.6433514232659254,0.00041061886647794036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25, Chad,2.554356839551318,1.7963095685708494,0.7207798997801382,0.0,0.0,0.0,0.0,0.004192138633978331,6.698631603368736e-05,0.00014440264130825695,0.03286384360901013
26, Malawi,2.4609959862463158,1.8853184865762314,0.5604767930473321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015200706622751832
27, Guinea,2.4298865594323424,1.341296399604928,1.0403423314653555,0.0,0.0,0.0,0.0,0.0036079465655879557,2.3983443708980487e-06,0.0011096525874189924,0.043527830864681115
28, Uganda,2.1844690555243393,0.0,2.1254220402146315,0.0,0.0,0.0,0.0,0.05891728161187758,0.0,0.00010887367934867422,2.0860018481764425e-05
29, Russia,2.139542878340524,2.139542878340524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30, South Sudan,2.0588762386888826,1.5062525175190784,0.5526216017026856,0.0,0.0,0.0,0.0,0.0,0.0,7.80856306804016e-07,1.3386108116640272e-06
31, Central African Republic,2.0567839342148013,1.7068701756386164,0.34934133512784665,0.0,0.0,0.0,0.0,0.0,0.0002999603727137141,0.0,0.00027246307562411555
32, Sierra Leone,2.01168267789191,0.9285391581308049,1.0825410891204057,0.0,0.0,0.0,0.0,0.00019610648390877997,0.0,0.00040632415679051824,0.0
33, Madagascar,1.8166692254863042,1.3381784403718597,0.47423439316150623,0.0,0.0,0.0,0.0,0.004256391952938205,0.0,0.0,0.0
34, Benin,1.5992768217558486,0.6906027038455883,0.8763747776356192,0.0,0.0,0.0,0.0,0.014949047790158994,3.2907515786740665e-06,3.792730633048077e-05,0.01730907442657316
35, Tanzania,1.5005177972510089,0.052979148275885464,1.4079270913663167,0.0,0.0,0.0,0.0,0.03900516691112275,0.0,0.0006063906976838043,0.0
