,0,1,2,3,4,5,6,7,8,9,10,11
58, Denmark,686.23,686.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59, Djibouti,18881.13,18881.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60, Dominica,80.54,80.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61, Dominican Republic,23688.84,23688.25,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
62, Ecuador,26859.91,26855.74,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63, Egypt,48428.17,47665.1,0.0,0.0,0.0,0.0,0.0,541.76,0.0,0.0,221.31
64, El Salvador,3282.41,3282.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65, Equatorial Guinea,24762.329999999998,10421.82,14337.8,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0
66, Eritrea,262411.52,260633.72,426.53,0.0,0.0,0.0,0.0,190.04,0.0,0.04,1161.19
67, Estonia,843.79,843.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68, Ethiopia,1769513.78,1670669.64,44445.12,0.0,0.0,0.0,0.0,29534.05,15.01,0.04,24849.92
69, Fiji,1352.1100000000001,1324.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,25.88
70, Finland,957.95,957.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71, France,14581.04,14581.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72, French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73, Gabon,30566.699999999997,21943.82,8622.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74, Gambia,24240.58,22401.13,1839.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75, Georgia,6684.84,6684.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76, Germany,9790.69,9790.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77, Ghana,593284.88,341402.73,251794.01,0.0,0.0,0.0,0.0,87.27,0.0,0.87,0.0
78, Greece,2654.49,2654.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Greenland,70.41,70.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80, Grenada,24.59,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81, Guam,126.51,126.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82, Guatemala,19297.03,19284.19,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09
83, Guinea,435655.20999999996,240481.5,186523.34,0.0,0.0,0.0,0.0,646.87,0.43,198.95,7804.12
84, Guinea-Bissau,40937.950000000004,37044.66,3268.04,0.0,0.0,0.0,0.0,0.0,0.0,133.12,492.13
85, Guyana,2240.0,2008.65,7.98,0.0,0.0,0.0,0.0,0.0,0.0,223.37,0.0
86, Haiti,55594.67,54781.06,5.57,0.0,0.0,0.0,0.0,0.0,0.0,808.04,0.0
87, Honduras,14975.769999999999,14954.71,21.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88, Hungary,1727.3,1727.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89, Iceland,29.25,29.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90, India,17929034.930000003,17834262.98,6761.42,0.0,0.0,0.0,0.0,0.0,0.0,64.28,87946.25
91, Indonesia,2901118.37,2899850.95,327.69,0.0,0.0,0.0,0.0,0.0,0.0,939.73,0.0
92, Iran,28443.9,28443.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93, Iraq,29290.33,29290.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94, Ireland,730.08,730.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95, Israel,568.77,568.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96, Italy,7718.17,7718.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97, Jamaica,572.64,572.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98, Japan,51240.64,51240.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99, Jordan,1756.54,1756.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100, Kazakhstan,40957.58,40957.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101, Kenya,779512.0399999998,712194.44,65420.35,0.0,0.0,0.0,0.0,1782.23,0.0,0.32,114.7
102, Kiribati,2268.3,2254.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.98
103, Kuwait,885.01,885.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104, Kyrgyzstan,19251.95,19251.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105, Lao People's Democratic Republic,71387.35999999999,71385.25,1.79,0.0,0.0,0.0,0.0,0.29,0.0,0.03,0.0
106, Latvia,2042.79,2042.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107, Lebanon,1421.37,1421.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108, Lesotho,92370.27,92370.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109, Liberia,111097.54000000001,67324.83,42791.32,0.0,0.0,0.0,0.0,388.32,0.0,593.07,0.0
110, Libya,2974.21,2974.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111, Lithuania,6380.02,6380.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112, Luxembourg,42.15,42.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113, Madagascar,325711.26,239922.48,85025.65,0.0,0.0,0.0,0.0,763.13,0.0,0.0,0.0
114, Malawi,441232.83,338019.41,100488.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2725.34
115, Malaysia,50599.31,50597.97,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116, Maldives,360.8,360.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117, Mali,594477.52,139999.94,451300.42,0.0,0.0,0.0,0.0,857.44,0.0,1140.92,1178.8
118, Malta,29.38,29.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119, Marshall Islands,210.69,210.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120, Mauritania,23662.969999999998,19593.46,3751.8,0.0,0.0,0.0,0.0,34.43,0.0,0.0,283.28
121, Mauritius,1310.6799999999998,763.14,0.0,0.0,0.0,0.0,0.0,547.54,0.0,0.0,0.0
122, Mexico,99188.70999999999,99187.26,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123, Micronesia (Federated States of),293.51,290.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0
124, Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125, Mongolia,19831.62,19831.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126, Montenegro,112.48,112.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127, Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128, Morocco,153530.64,153524.01,0.0,0.0,0.0,0.0,0.0,6.63,0.0,0.0,0.0
129, Mozambique,1195029.6099999999,904856.74,288286.56,0.0,0.0,0.0,0.0,21.88,0.0,958.17,906.26
130, Myanmar,507876.0,507670.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.9,0.0
131, Namibia,38539.87,38355.9,183.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132, Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133, Nepal,185662.14,185156.68,94.67,0.0,0.0,0.0,0.0,0.0,0.0,410.79,0.0
134, Netherlands,1728.77,1728.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135, New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136, New Zealand,490.57,490.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137, Nicaragua,5468.0599999999995,5465.45,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138, Niger,778567.4899999999,283066.25,492634.41,0.0,0.0,0.0,0.0,1668.1,0.0,356.84,841.89
139, Nigeria,5661542.74,2966500.68,2666914.48,0.0,0.0,0.0,0.0,23832.6,0.0,0.0,4294.98
140, Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141, Northern Mariana Islands,33.47,33.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142, Norway,665.05,665.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143, Oman,827.19,827.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144, Pakistan,2045508.74,2035159.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10349.56
145, Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146, Panama,8338.2,8337.62,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147, Papua New Guinea,62906.81999999999,62270.96,50.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.27
148, Paraguay,7944.9,7944.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149, Peru,84031.98999999999,84019.54,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150, Philippines,1214739.3800000001,1214589.27,9.61,0.0,0.0,0.0,0.0,129.99,0.0,10.51,0.0
151, Poland,19228.32,19228.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152, Portugal,5258.05,5258.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153, Puerto Rico,480.42,480.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154, Qatar,458.15,458.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155, Republic of Korea,63315.04,63314.8,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156, Republic of Moldova,9630.62,9630.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157, Romania,40591.74,40591.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158, Russia,383599.39,383599.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
